tournament_name,tournament_link,country,match_link,match_report_link,date,kick_off,home_team_name,away_team_name,full_time,half_time,home_team_link,away_team_link,home_shots,home_shots_on_target,home_possession,home_pass_success,home_tackles,home_aerial_duel_success,home_dribbles_won,away_shots,away_shots_on_target,away_possession,away_pass_success,away_tackles,away_aerial_duel_success,away_dribbles_won
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084924/Live,https://www.whoscored.com/Matches/1084924/MatchReport/England-Championship-2016-2017-Wigan-Birmingham,"Tue, 16-Aug-16",19:45,Wigan,Birmingham,1 : 1,0 : 1,/Teams/194,/Teams/157,20,6,71%,84%,17,57%,12,6,3,29%,63%,18,43%,3
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085005/Live,https://www.whoscored.com/Matches/1085005/MatchReport/England-Championship-2016-2017-Birmingham-Blackburn,"Sat, 01-Oct-16",15:00,Birmingham,Blackburn,1 : 0,0 : 0,/Teams/157,/Teams/158,16,5,51%,68%,18,45%,7,10,2,49%,71%,6,55%,0
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085165/Live,https://www.whoscored.com/Matches/1085165/MatchReport/England-Championship-2016-2017-Rotherham-Queens-Park-Rangers,"Sat, 10-Dec-16",15:00,Rotherham,QPR,1 : 0,1 : 0,/Teams/210,/Teams/171,17,10,34%,52%,20,55%,5,15,5,66%,74%,10,45%,8
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085116/Live,https://www.whoscored.com/Matches/1085116/MatchReport/England-Championship-2016-2017-Brighton-Norwich,"Sat, 29-Oct-16",15:00,Brighton,Norwich,5 : 0,1 : 0,/Teams/211,/Teams/168,11,7,45%,74%,21,50%,12,8,2,55%,78%,13,50%,15
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084918/Live,https://www.whoscored.com/Matches/1084918/MatchReport/England-Championship-2016-2017-Norwich-Bristol-City,"Tue, 16-Aug-16",19:45,Norwich,Bristol City,1 : 0,1 : 0,/Teams/168,/Teams/182,15,5,56%,80%,18,67%,12,6,2,44%,74%,24,33%,11
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085010/Live,https://www.whoscored.com/Matches/1085010/MatchReport/England-Championship-2016-2017-Newcastle-United-Brentford,"Sat, 15-Oct-16",15:00,Newcastle,Brentford,3 : 1,2 : 0,/Teams/23,/Teams/189,15,6,52%,77%,21,47%,10,7,2,48%,73%,14,53%,6
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084899/Live,https://www.whoscored.com/Matches/1084899/MatchReport/England-Championship-2016-2017-Cardiff-Reading,"Sat, 27-Aug-16",15:00,Cardiff,Reading,0 : 1,0 : 0,/Teams/188,/Teams/94,11,3,32%,66%,13,50%,4,10,2,68%,82%,8,50%,6
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084906/Live,https://www.whoscored.com/Matches/1084906/MatchReport/England-Championship-2016-2017-Fulham-Cardiff,"Sat, 20-Aug-16",15:00,Fulham,Cardiff,2 : 2,1 : 0,/Teams/170,/Teams/188,17,4,62%,87%,9,57%,16,9,3,38%,78%,15,43%,8
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084917/Live,https://www.whoscored.com/Matches/1084917/MatchReport/England-Championship-2016-2017-Fulham-Birmingham,"Sat, 10-Sep-16",15:00,Fulham,Birmingham,0 : 1,0 : 0,/Teams/170,/Teams/157,10,1,64%,84%,9,48%,9,25,8,36%,71%,24,52%,5
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084950/Live,https://www.whoscored.com/Matches/1084950/MatchReport/England-Championship-2016-2017-Derby-Ipswich,"Tue, 13-Sep-16",19:45,Derby,Ipswich,0 : 1,0 : 0,/Teams/20,/Teams/165,24,5,61%,76%,14,56%,7,5,2,39%,60%,18,44%,8
