home_possession,home_dribbles_won,tournament_name,away_team_link,home_pass_success,tournament_link,half_time,home_tackles,away_dribbles_won,country,away_shots_on_target,home_shots_on_target,away_aerial_duel_success,match_report_link,away_team_name,date,home_team_name,home_shots,home_team_link,away_possession,home_aerial_duel_success,match_link,away_tackles,away_shots,away_pass_success,full_time,kick_off
71%,12,Championship - 2016/2017,/Teams/157,84%,/Regions/252/Tournaments/7/Seasons/6365,0 : 1,17,3,England,3,6,43%,https://www.whoscored.com/Matches/1084924/MatchReport/England-Championship-2016-2017-Wigan-Birmingham,Birmingham,"Tue, 16-Aug-16",Wigan,20,/Teams/194,29%,57%,https://www.whoscored.com/Matches/1084924/Live,18,6,63%,1 : 1,19:45
51%,7,Championship - 2016/2017,/Teams/158,68%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,18,0,England,2,5,55%,https://www.whoscored.com/Matches/1085005/MatchReport/England-Championship-2016-2017-Birmingham-Blackburn,Blackburn,"Sat, 01-Oct-16",Birmingham,16,/Teams/157,49%,45%,https://www.whoscored.com/Matches/1085005/Live,6,10,71%,1 : 0,15:00
34%,5,Championship - 2016/2017,/Teams/171,52%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,20,8,England,5,10,45%,https://www.whoscored.com/Matches/1085165/MatchReport/England-Championship-2016-2017-Rotherham-Queens-Park-Rangers,QPR,"Sat, 10-Dec-16",Rotherham,17,/Teams/210,66%,55%,https://www.whoscored.com/Matches/1085165/Live,10,15,74%,1 : 0,15:00
45%,12,Championship - 2016/2017,/Teams/168,74%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,21,15,England,2,7,50%,https://www.whoscored.com/Matches/1085116/MatchReport/England-Championship-2016-2017-Brighton-Norwich,Norwich,"Sat, 29-Oct-16",Brighton,11,/Teams/211,55%,50%,https://www.whoscored.com/Matches/1085116/Live,13,8,78%,5 : 0,15:00
56%,12,Championship - 2016/2017,/Teams/182,80%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,18,11,England,2,5,33%,https://www.whoscored.com/Matches/1084918/MatchReport/England-Championship-2016-2017-Norwich-Bristol-City,Bristol City,"Tue, 16-Aug-16",Norwich,15,/Teams/168,44%,67%,https://www.whoscored.com/Matches/1084918/Live,24,6,74%,1 : 0,19:45
52%,10,Championship - 2016/2017,/Teams/189,77%,/Regions/252/Tournaments/7/Seasons/6365,2 : 0,21,6,England,2,6,53%,https://www.whoscored.com/Matches/1085010/MatchReport/England-Championship-2016-2017-Newcastle-United-Brentford,Brentford,"Sat, 15-Oct-16",Newcastle,15,/Teams/23,48%,47%,https://www.whoscored.com/Matches/1085010/Live,14,7,73%,3 : 1,15:00
32%,4,Championship - 2016/2017,/Teams/94,66%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,13,6,England,2,3,50%,https://www.whoscored.com/Matches/1084899/MatchReport/England-Championship-2016-2017-Cardiff-Reading,Reading,"Sat, 27-Aug-16",Cardiff,11,/Teams/188,68%,50%,https://www.whoscored.com/Matches/1084899/Live,8,10,82%,0 : 1,15:00
62%,16,Championship - 2016/2017,/Teams/188,87%,/Regions/252/Tournaments/7/Seasons/6365,1 : 0,9,8,England,3,4,43%,https://www.whoscored.com/Matches/1084906/MatchReport/England-Championship-2016-2017-Fulham-Cardiff,Cardiff,"Sat, 20-Aug-16",Fulham,17,/Teams/170,38%,57%,https://www.whoscored.com/Matches/1084906/Live,15,9,78%,2 : 2,15:00
64%,9,Championship - 2016/2017,/Teams/157,84%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,9,5,England,8,1,52%,https://www.whoscored.com/Matches/1084917/MatchReport/England-Championship-2016-2017-Fulham-Birmingham,Birmingham,"Sat, 10-Sep-16",Fulham,10,/Teams/170,36%,48%,https://www.whoscored.com/Matches/1084917/Live,24,25,71%,0 : 1,15:00
61%,7,Championship - 2016/2017,/Teams/165,76%,/Regions/252/Tournaments/7/Seasons/6365,0 : 0,14,8,England,2,5,44%,https://www.whoscored.com/Matches/1084950/MatchReport/England-Championship-2016-2017-Derby-Ipswich,Ipswich,"Tue, 13-Sep-16",Derby,24,/Teams/20,39%,56%,https://www.whoscored.com/Matches/1084950/Live,18,5,60%,0 : 1,19:45
