match_report,match_report-href,home_team,home_team-href,away_team,away_team-href,half_time,full_time,kick_off,date,tournament,tournament-href,country,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_pass_success,away_pass_success,home_aerial_duel_success,away_aerial_duel_success,home_dribbles_won,away_dribbles_won,home_tackles,away_tackles,home_possession,away_possession
"Match Report","https://www.whoscored.com/Matches/1082944/Live#","TSV Buchbach","https://www.whoscored.com/Teams/5635","Bayern Munich II","https://www.whoscored.com/Teams/1146","0 : 1","1 : 3","15:00","Mon, 15-Aug-16","null","","Germany","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1076569/Live#","Cannes","https://www.whoscored.com/Teams/150","Chateauroux","https://www.whoscored.com/Teams/608","0 : 1","null","19:00","Fri, 12-Nov-99","null","","France","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1084477/Live#","Lech Poznan","https://www.whoscored.com/Teams/1527","Arka Gdynia","https://www.whoscored.com/Teams/3314","0 : 0","0 : 0","17:00","Sun, 25-Sep-16","null","","Poland","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1084210/Live#","Slovacko","https://www.whoscored.com/Teams/1077","Bohemians 1905","https://www.whoscored.com/Teams/1006","0 : 0","2 : 0","15:00","Sat, 20-Aug-16","null","","Czech Republic","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1081764/Live#","Dundee FC","https://www.whoscored.com/Teams/177","Partick Thistle","https://www.whoscored.com/Teams/357","null","null","19:45","Wed, 01-Mar-17","null","","Scotland","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1076131/MatchReport/France-Ligue-1-2016-2017-Paris-Saint-Germain-Rennes","PSG","https://www.whoscored.com/Teams/304","Rennes","https://www.whoscored.com/Teams/313","2 : 0","4 : 0","19:45","Sun, 06-Nov-16","Ligue 1 - 2016/2017","https://www.whoscored.com/Regions/74/Tournaments/22/Seasons/6318","France","19","4","6","1","89%","79%","62%","38%","9","3","19","16","64%","36%"
"Match Report","https://www.whoscored.com/Matches/1077274/Live#","Lyngby","https://www.whoscored.com/Teams/2","FC Midtjylland","https://www.whoscored.com/Teams/395","1 : 0","1 : 0","13:00","Sun, 02-Oct-16","null","","Denmark","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1078729/Live#","Zorya","https://www.whoscored.com/Teams/3753","Chernomorets Odessa","https://www.whoscored.com/Teams/1699","3 : 0","4 : 0","17:30","Sun, 07-Aug-16","null","","Ukraine","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1080870/Live#","Hull","https://www.whoscored.com/Teams/214","Sunderland","https://www.whoscored.com/Teams/16","null","null","15:00","Sat, 06-May-17","Premier League - 2016/2017","https://www.whoscored.com/Regions/252/Tournaments/2/Seasons/6335","England","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1081863/Live#","Greenock Morton","https://www.whoscored.com/Teams/102","Hibernian","https://www.whoscored.com/Teams/320","0 : 0","1 : 1","17:15","Sat, 17-Dec-16","null","","Scotland","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1076030/MatchReport/France-Ligue-1-2016-2017-Marseille-Toulouse","Marseille","https://www.whoscored.com/Teams/249","Toulouse","https://www.whoscored.com/Teams/246","0 : 0","0 : 0","19:45","Sun, 14-Aug-16","Ligue 1 - 2016/2017","https://www.whoscored.com/Regions/74/Tournaments/22/Seasons/6318","France","10","6","2","2","81%","67%","57%","43%","11","14","21","22","58%","42%"
"Match Report","https://www.whoscored.com/Matches/1084621/Live#","Lech Poznan","https://www.whoscored.com/Teams/1527","Gornik Leczna","https://www.whoscored.com/Teams/2081","null","null","17:00","Sat, 18-Mar-17","null","","Poland","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1079066/Live#","Northampton","https://www.whoscored.com/Teams/316","Torquay","https://www.whoscored.com/Teams/204","3 : 0","null","14:00","Sat, 09-Oct-99","null","","England","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1083491/Live#","La Fiorita Montegiardino","https://www.whoscored.com/Teams/6337","Debrecen","https://www.whoscored.com/Teams/1036","0 : 2","0 : 5","19:30","Thu, 30-Jun-16","null","","Europe","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1083418/Live#","Kjellerup","https://www.whoscored.com/Teams/3811","Silkeborg","https://www.whoscored.com/Teams/8","0 : 1","2 : 4","15:00","Fri, 01-Jul-16","null","","International","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1079904/Live#","AZ Alkmaar","https://www.whoscored.com/Teams/243","FC Utrecht","https://www.whoscored.com/Teams/128","null","null","17:00","Sun, 14-May-17","null","","Netherlands","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Match Report","https://www.whoscored.com/Matches/1076781/Live#","Tranmere","https://www.whoscored.com/Teams/141","Swindon","https://www.whoscored.com/Teams/159","3 : 1","null","16:00","Tue, 28-Dec-99","null","","England","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
